t,x,y,z,speed
2.4,144.52,12.52,79.0095,63.4896
2.41,145.118,12.568,79.2163,63.4576
2.42,145.716,12.616,79.4222,63.4257
2.43,146.314,12.664,79.627,63.3939
2.44,146.912,12.712,79.8309,63.3623
2.45,147.51,12.76,80.0338,63.3308
2.46,148.108,12.808,80.2357,63.2994
2.47,148.706,12.856,80.4367,63.2682
2.48,149.304,12.904,80.6366,63.2371
2.49,149.902,12.952,80.8356,63.2061
2.5,150.5,13,81.0336,63.1753
2.51,151.098,13.048,81.2306,63.1446
2.52,151.696,13.096,81.4267,63.1141
2.53,152.294,13.144,81.6217,63.0837
2.54,152.892,13.192,81.8158,63.0534
2.55,153.49,13.24,82.0089,63.0233
2.56,154.088,13.288,82.201,62.9933
2.57,154.686,13.336,82.3922,62.9635
2.58,155.284,13.384,82.5823,62.9338
2.59,155.882,13.432,82.7715,62.9042
2.6,156.48,13.48,82.9597,62.8748
2.61,157.078,13.528,83.1469,62.8455
2.62,157.676,13.576,83.3331,62.8163
2.63,158.274,13.624,83.5184,62.7873
2.64,158.872,13.672,83.7026,62.7584
2.65,159.47,13.72,83.8859,62.7297
2.66,160.068,13.768,84.0682,62.7011
2.67,160.666,13.816,84.2495,62.6726
2.68,161.264,13.864,84.4299,62.6443
2.69,161.862,13.912,84.6092,62.6162
2.7,162.46,13.96,84.7876,62.5881
2.71,163.058,14.008,84.965,62.5602
2.72,163.656,14.056,85.1414,62.5325
2.73,164.254,14.104,85.3169,62.5049
2.74,164.852,14.152,85.4913,62.4774
2.75,165.45,14.2,85.6648,62.4501
2.76,166.048,14.248,85.8373,62.4229
2.77,166.646,14.296,86.0088,62.3959
2.78,167.244,14.344,86.1793,62.369
2.79,167.842,14.392,86.3489,62.3422
2.8,168.44,14.44,86.5175,62.3156
2.81,169.038,14.488,86.685,62.2892
2.82,169.636,14.536,86.8517,62.2628
2.83,170.234,14.584,87.0173,62.2367
2.84,170.832,14.632,87.1819,62.2106
2.85,171.43,14.68,87.3456,62.1847
2.86,172.028,14.728,87.5083,62.159
2.87,172.626,14.776,87.67,62.1334
2.88,173.224,14.824,87.8307,62.1079
2.89,173.822,14.872,87.9904,62.0826
2.9,174.42,14.92,88.1492,62.0575
2.91,175.018,14.968,88.307,62.0324
2.92,175.616,15.016,88.4638,62.0075
2.93,176.214,15.064,88.6196,61.9828
2.94,176.812,15.112,88.7744,61.9582
2.95,177.41,15.16,88.9283,61.9338
2.96,178.008,15.208,89.0812,61.9095
2.97,178.606,15.256,89.2331,61.8853
2.98,179.204,15.304,89.384,61.8613
2.99,179.802,15.352,89.5339,61.8375
3,180.4,15.4,89.6828,61.8138
3.01,180.998,15.448,89.8308,61.7902
3.02,181.596,15.496,89.9778,61.7668
3.03,182.194,15.544,90.1238,61.7435
3.04,182.792,15.592,90.2688,61.7204
3.05,183.39,15.64,90.4129,61.6974
3.06,183.988,15.688,90.5559,61.6746
3.07,184.586,15.736,90.698,61.6519
